
Gurobi 11.0.1 (linux64) logging started Tue Feb 11 21:12:10 2025

Set parameter LogFile to value "ASAD6_solver_completo.log"
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "Ubuntu 22.04.4 LTS")

CPU model: AMD Ryzen 5 5500U with Radeon Graphics, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Optimize a model with 122881 rows, 21680 columns and 549658 nonzeros
Model fingerprint: 0x6f08a766
Variable types: 12944 continuous, 8736 integer (0 binary)
Coefficient statistics:
  Matrix range     [9e-02, 1e+07]
  Objective range  [2e-04, 2e-04]
  Bounds range     [1e+00, 2e+06]
  RHS range        [1e+00, 1e+07]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint rest_define_EstoqueEB06_PRDT_C2_d01_h02 by 597.891624732
MIP start from previous solve did not produce a new incumbent solution

Presolve removed 104471 rows and 11236 columns
Presolve time: 2.51s
Presolved: 18410 rows, 10444 columns, 177983 nonzeros
Variable types: 5223 continuous, 5221 integer (3346 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   11827   -1.8892944e+02   0.000000e+00   4.960048e+03      5s
   20785   -1.6499472e+02   0.000000e+00   2.924770e+02     10s
Concurrent spin time: 0.00s

Solved with dual simplex

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   25803   -1.5778481e+02   0.000000e+00   0.000000e+00     13s

Root relaxation: objective -1.577848e+02, 25803 iterations, 9.89 seconds (9.52 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

    31    24 -214.80282    7 1524          - -200.85268      -  2173  151s
    46    34 -215.72359    9 1449          - -201.74496      -  1911  156s
    81    56 -219.68473   16 1323          - -201.74496      -  1324  160s
    99    72 -222.70576   18 1193          - -201.74496      -  1286  168s
   108    80 infeasible   18               - -201.74496      -  1328  170s
   150   121 -224.00979   32  917          - -201.74496      -  1167  176s
   206   168 -226.08499   45  952          - -201.74496      -   997  180s
   327   293 -229.69044   66 1033          - -201.74496      -   756  185s
   542   436 infeasible   89               - -206.27318      -   511  191s
   766   562 -210.09702   11 1248          - -206.27318      -   397  195s
  1003   706 -210.79246   14 1171          - -206.27318      -   336  200s
  1251   881 -212.17271   22 1053          - -206.27318      -   301  206s
  1566  1055 -230.22659   71 1367          - -206.27318      -   268  217s
  1568  1056 -224.76838   52 1005          - -206.27318      -   268  228s
  1569  1057 -226.37817   24 1532          - -206.27318      -   267  249s
  1570  1058 -267.70521   23 1862          - -206.27318      -   267  259s
  1571  1058 -224.74730  126 1822          - -206.27318      -   267  264s
  1572  1059 -330.40430   21 1878          - -206.27318      -   267  273s
  1573  1060 -236.85499  169 1673          - -206.27318      -   267  292s
  1574  1060 -340.79987   33 1855          - -206.27318      -   267  297s
  1575  1061 -252.06222   22 1890          - -206.27318      -   266  305s
  1576  1062 -340.79987   33 1838          - -209.56549      -   266  322s
  1578  1063 -356.78652   56 1691          - -211.79214      -   266  331s
  1579  1064 -229.70465   33 1433          - -213.00272      -   266  351s
  1581  1065 -229.57138  169 1741          - -213.28841      -   265  357s
  1583  1066 -225.01260   41 1716          - -214.15914      -   265  368s
  1584  1067 -268.78351   24 1713          - -214.57637      -   265  370s
  1586  1068 -297.34678  148 1491          - -215.38454      -   265  379s
